1\Tenacity\1\1\100, 0\300, 0\Increase DEF by 3%\Increase DEF by 5%\-\\\
572\Premonition of Beginnings\4\9\320, 200\1200, 750\Gain 2 Critical Stars per turn; Increase NP Gauge by 2% per turn; Increase Sakura Chip drop amount by 1 [CCC]\Gain 3 Critical Stars per turn; Increase NP Gauge by 3% per turn; Increase Sakura Chip drop amount by 2 [CCC]\-\Tohsaka Asagi\\\BB-chan's Counterattack / Meeting at the Electronic Sea
573\The Cage\3\5\300, 0\1500, 0\Increase NP Gauge by 10% at the start of battle; Increase NP Gain when attacked by 15%; Increase appearance rate of [TYPE I] by 20% [CCC]\Increase NP Gauge by 20% at the start of battle; Increase NP Gain when attacked by 20%; Increase appearance rate of [TYPE I] by 50% [CCC]\-\Usagi Routo\\\BB-chan's Counterattack / Meeting at the Electronic Sea
574\BB Shot!\4\9\0, 0\0, 0\No Effect; Increase Craft Essence EXP by 30,000 when used as synthesis material.\\-\Robina\EXPCard\\BB-chan's Counterattack / Meeting at the Electronic Sea
575\Dazzling Radiance\4\9\100, 100\100, 100\When equipped to Meltryllis (Alterego) only. Increase Quick Card effectiveness by 20% and Critical Strength by 30%, but decrease Critical Strength of all allies by 10% [Demerit] while she's on the field\\-\\\
576\Look Away No Longer\4\9\100, 100\100, 100\When equipped to Passionlip (Alterego) only. Increase Buster Card effectiveness of all allies by 20% but decrease Debuff Resist by 20% [Demerit] while she's on the field\\-\\\
577\A Dream by the Wayside\4\9\100, 100\100, 100\When equipped to BB (Moon Cancer) only. Increase Quick, Arts, and Buster Card effectiveness of all allies by 8% while she's on the field\\-\\\
578\Demoness of the Heavens' Love Training\4\9\100, 100\100, 100\When equipped to Suzuka Gozen (Saber) only. Increase Buster Card effectiveness and NP Strength of all allies by 10% while she's on the field\\-\\\
579\A Dream by the Cradle\4\9\100, 100\100, 100\When equipped to Sessyoin Kiara (Alterego) only. Increase own Arts Card effectiveness by 20% and maximum HP by 3,000 but decrease maximum HP of all allies except self by 1,000 [Demerit] while she's on the field\\-\\\
580\Ruined Church\3\5\160, 100\800, 500\Increase DEF against [Male] by 15%\Increase DEF against [Male] by 20%\-\\\
581\Marugoshi Shinji\3\5\300, 0\1500, 0\Increase Defense Debuff Resist by 25%\Increase Defense Debuff Resist by 30%\-\\\
582\Atlas Institute\3\5\0, 200\0, 1000\Increase Arts Card NP Strength by 15%\Increase Arts Card NP Strength by 25%\-\\\
583\Fate/Apocrypha\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50\\-\Yamada Yuukei\\\Fate/Apocrypha Anime Commemoration Campaign
584\FGO THE STAGE\4\9\100, 100\100, 100\Increase Master EXP received from clearing quest by 50\\-\\\\FGO THE STAGE Summer Performance Campaign
585\Phantasmal Species\3\5\0, 200\0, 1000\Increase NP Strength by 15% when equipped to a [Rider] class\Increase NP Strength by 20% when equipped to a [Rider] class\-\\\
586\King Shahryar's Bed Chamber\4\9\100, 100\100, 100\When equipped to Scheherazade (Caster) only. Increase own Debuff Resist by 100%\\-\\\
587\Palace of Luoyang\4\9\100, 100\100, 100\When equipped to Wu Zetian (Assassin) only. Increase Quick Card effectiveness of all allies by 20% but decrease their DEF by 10% [Demerit] while she's on the field\\-\\\
588\Battle Sash of the War God\4\9\100, 100\100, 100\When equipped to Penthesilea (Berserker) only. Increase Buster Card effectiveness of all allies by 20% but decrease their DEF by 10% [Demerit] while she's on the field\\-\\\
589\Nina\4\9\100, 100\100, 100\When equipped to Columbus (Rider) only. Increase Buster Card effectiveness and NP Gain of all allies by 10% while he's on the field\\-\\\
590\Chaldea Anniversary\5\12\400, 250\1600, 1000\Increase Quick Card effectiveness by 8%; Increase Arts Card effectiveness by 8%; Increase NP Gauge by 50% at the start of battle\Increase Quick Card effectiveness by 10%; Increase Arts Card effectiveness by 10%; Increase NP Gauge by 60% at the start of battle\-\Takenashi Eri\\\FGO Fes. 2017 ~2nd Anniversary~
591\Afternoon Party\4\9\320, 200\1200, 750\Increase NP Gauge by 4% per turn; Increase Arts Card effectiveness by 10%\Increase NP Gauge by 5% per turn; Increase Arts Card effectiveness by 12%\-\Kamiya Mio\\\FGO Fes. 2017 ~2nd Anniversary~
592\Starlight Fest\3\5\160, 100\800, 500\Increase Critical Star Gather Rate by 100%; Increase Quick Card effectiveness by 2%\Increase Critical Star Gather Rate by 200%; Increase Quick Card effectiveness by 3%\-\Task Ohna\\\FGO Fes. 2017 ~2nd Anniversary~
593\Learning with Manga! FGO\4\9\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\Riyo\\\All The Statesmen! ~Learning with Manga USA Development History~
594\Heroic Spirit Formal Dress: Mash Kyrielight\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Takeuchi Takashi\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
595\Heroic Spirit Formal Dress: Altria Pendragon\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Takeuchi Takashi\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
596\Heroic Spirit Formal Dress: Altera\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\huke\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
597\Heroic Spirit Formal Dress: Mordred\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Konoe Ototsugu\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
598\Heroic Spirit Formal Dress: Arthur Pendragon\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Nakahara\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
599\Heroic Spirit Formal Dress: Nero Claudius\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Wada Arco\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
600\Heroic Spirit Formal Dress: Chevalier d'Eon\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Moriyama Daisuke\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
601\Heroic Spirit Formal Dress: Lancelot\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Shima Drill\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
602\Heroic Spirit Formal Dress: Gaius Julius Caesar\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Shima Drill\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
603\Heroic Spirit Formal Dress: Bedivere\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Tenkuu Sphere\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
604\Heroic Spirit Formal Dress: Arjuna\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\pako\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
605\Heroic Spirit Formal Dress: Ishtar\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Morii Shizuki\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
606\Heroic Spirit Formal Dress: EMIYA [Alter]\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Sasaki Shounen\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
607\Heroic Spirit Formal Dress: Atalante\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Rin Kususaga\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
608\Heroic Spirit Formal Dress: Euryale\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\AKIRA\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
609\Heroic Spirit Formal Dress: Scathach\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Koyama Hirokazu\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
610\Heroic Spirit Formal Dress: Karna\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\pako\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
611\Heroic Spirit Formal Dress: Altria Pendragon [Lancer]\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Ishida Akira\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
612\Heroic Spirit Formal Dress: Altria Pendragon [Alter]\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Ishida Akira\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
613\Heroic Spirit Formal Dress: Romulus\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Koyama Hirokazu\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
614\Heroic Spirit Formal Dress: Medusa\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\BLACK\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
615\Heroic Spirit Formal Dress: Jaguar Man\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Aotsuki Takao\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
616\Heroic Spirit Formal Dress: Queen Medb\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Takayama Kisai\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
617\Heroic Spirit Formal Dress: Quetzalcoatl\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Hiroe Rei\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
618\Heroic Spirit Formal Dress: Marie Antoinette\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Ginka\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
619\Heroic Spirit Formal Dress: Ushiwakamaru\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Sakamoto Mineji\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
620\Heroic Spirit Formal Dress: Boudica\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Aotsuki Takao\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
621\Heroic Spirit Formal Dress: Edward Teach\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Bsuke\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
622\Heroic Spirit Formal Dress: Leonardo da Vinci\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Simosi\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
623\Heroic Spirit Formal Dress: Nitocris\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Shima Udon\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
624\Heroic Spirit Formal Dress: Gilgamesh\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Ginka\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
625\Heroic Spirit Formal Dress: Cu Chulainn\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Mata\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
626\Heroic Spirit Formal Dress: Mephistopheles\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Simosi\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
627\Heroic Spirit Formal Dress: Wolfgang Amadeus Mozart\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\PFALZ\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
628\Heroic Spirit Formal Dress: Fuyajo Assassin\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Harada Takehito\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
629\Heroic Spirit Formal Dress: Hassan of the Cursed Arm\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Task Ohna\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
630\Heroic Spirit Formal Dress: Vlad III\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Maeda Hirotaka\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
631\Heroic Spirit Formal Dress: Sakata Kintoki\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Honjou Raita\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
632\Heroic Spirit Formal Dress: Nightingale\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Takahashi Keitarou>\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
633\Heroic Spirit Formal Dress: Cu Chulainn [Alter]\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Shima Drill\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
634\Heroic Spirit Formal Dress: Heracles\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Azusa\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
635\Heroic Spirit Formal Dress: Frankenstein\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Okazaki Takeshi\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
636\Heroic Spirit Formal Dress: El Dorado Berserker\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Shinjirou\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
637\Heroic Spirit Formal Dress: Kiyohime\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\BLACK\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
638\Heroic Spirit Formal Dress: Asterios\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Shima Drill\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
639\Heroic Spirit Formal Dress: Jeanne d'Arc\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Takeuchi Takashi\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
640\Heroic Spirit Formal Dress: Sherlock Holmes\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Yamanaka Kotetsu\\\Fate/Grand Order Fes. 2017 2nd Anniversary CE
641\Frontier\4\9\100, 100\100, 100\When equipped to Paul Bunyan (Berserker) only. Increase Buster Card effectiveness of all allies by 15% while she's on the field\\-\\\
642\One of My Pride\4\9\100, 100\100, 100\When equipped to Sherlock Holmes (Ruler) only. Increase Quick Card effectiveness of all allies by 10% and Critical Strength by 15% while he's on the field\\-\\\
643\Summer Little\5\12\400, 250\1600, 1000\Increase NP Gain by 25%; Increase NP Strength by 10%; Increase Critical Strength by 10%; Increase Mag Wheel drop amount by 2 [Summer 2]; Increase Connacht Coin drop amount by 2 [Summer 2]\Increase NP Gain by 30%; Increase NP Strength by 15%; Increase Critical Strength by 15%; Increase Mag Wheel drop amount by 3 [Summer 2]; Increase Connacht Coin drop amount by 3 [Summer 2]\-\Poyoyon♥Rock\\\Dead Heat Summer Race! ~Ishtar Cup of Hope and Dreams 2017~
644\White Cruising\4\9\320, 200\1200, 750\Increase Arts Card effectiveness by 8%; Increase Buster Card effectiveness by 8%; Increase NP Gain by 8%; Increase Titan Plate drop amount by 2 [Summer 2]; Increase Instant Noodles drop amount by 2 [Summer 2]\Increase Arts Card effectiveness by 10%; Increase Buster Card effectiveness by 10%; Increase NP Gain by 10%; Increase Titan Plate drop amount by 3 [Summer 2]; Increase Instant Noodles drop amount by 3 [Summer 2]\-\Naruco Hanaharu\\\Dead Heat Summer Race! ~Ishtar Cup of Hope and Dreams 2017~
645\Sugar Vacation\3\5\300, 0\1500, 0\Increase DEF by 3%; Increase Quick Card effectiveness by 3%; Increase Junk Parts drop amount by 2 [Summer 2]; Increase One Candy Drop drop amount by 2 [Summer 2]\Increase DEF by 5%; Increase Quick Card effectiveness by 5%; Increase Junk Parts drop amount by 3 [Summer 2]; Increase One Candy Drop drop amount by 3 [Summer 2]\-\Ohara Hiroki\\\Dead Heat Summer Race! ~Ishtar Cup of Hope and Dreams 2017~
646\Seaside Luxury\5\12\0, 500\0, 2000\Increase Critical Star Drop Rate by 20%; Gain 3 Critical Stars per turn; Increase Junk Parts drop amount by 1; Increase Titan Plate drop amount by 1 [Summer 2]; Increase Mag Wheel drop amount by 1 [Summer 2]\Increase Critical Star Drop Rate by 25%; Gain 4 Critical Stars per turn; Increase Junk Parts drop amount by 2; Increase Titan Plate drop amount by 2 [Summer 2]; Increase Mag Wheel drop amount by 2 [Summer 2]\-\Satou Hiroki (DELiGHTWORKS)\\\Dead Heat Summer Race! ~Ishtar Cup of Hope and Dreams 2017~
647\Golden Theater of the Rainbow Sea\4\9\100, 100\100, 100\When equipped to Nero Claudius (Caster) only. Increase Buster Card effectiveness & NP Gain of all allies by 10% while she's on the field\\-\\\
648\All-Purpose Bandage\4\9\100, 100\100, 100\When equipped to Frankenstein (Saber) only. Increase Quick Card effectiveness & NP Gain of all allies by 10% while she's on the field\\-\\\
649\Gift from the Sun\4\9\100, 100\100, 100\When equipped to Nitocris (Assassin) only. Increase Arts Card effectiveness & NP Gain of all allies by 10% while she's on the field\\-\\\
650\Tenka Fubu ~(Year)summer.ver~\4\9\100, 100\100, 100\When equipped to Oda Nobunaga (Berserker) only. Increase Buster Card effectiveness & Critical Strength of all allies by 15%, but decrease DEF by 10% [Demerit] while she's on the field\\-\\\
651\Championship Cup of the Goddess\4\9\100, 100\100, 100\When equipped to Ishtar (Rider) only. Increase Quick Card effectiveness & NP Strength of all allies by 10% while she's on the field\\-\\\
652\Midsummer Moment\5\12\0, 500\0, 2000\Increase Quick Card effectiveness by 10%; Increase Critical Strength by 10%; Gain 3 Critical Stars per turn; Increase Mag Wheel drop amount by 2 [Summer 2]; Increase Connacht Coin drop amount by 2 [Summer 2]\Increase Quick Card effectiveness by 15%; Increase Critical Strength by 15%; Gain 4 Critical Stars per turn; Increase Mag Wheel drop amount by 3 [Summer 2]; Increase Connacht Coin drop amount by 3 [Summer 2]\-\nineo\\\Death Jail Summer Escape! ~Medb's Great Prison of Sin and Despair 2017~
653\King, Joker, Jack\4\9\600, 0\2250, 0\Increase Buster Card effectiveness by 8%; Increase NP Strength by 8%; Increase DEF by 3%; Increase Titan Plate drop amount by 2 [Summer 2]; Increase Instant Noodles drop amount by 2 [Summer 2]\Increase Buster Card effectiveness by 10%; Increase NP Strength by 10%; Increase DEF by 5%; Increase Titan Plate drop amount by 3 [Summer 2]; Increase Instant Noodles drop amount by 3 [Summer 2]\-\Iwasa Yuusuke\\\Death Jail Summer Escape! ~Medb's Great Prison of Sin and Despair 2017~
654\Chaldea Beach Volleyball\3\5\0, 200\0, 1000\Apply Sure Hit; Increase Critical Star Drop Rate by 2%; Increase Critical Strength by 2%; Increase Junk Parts drop amount by 2 [Summer 2]; Increase One Candy Drop drop amount by 2 [Summer 2]\Apply Sure Hit; Increase Critical Star Drop Rate by 3%; Increase Critical Strength by 3%; Increase Junk Parts drop amount by 3 [Summer 2]; Increase One Candy Drop drop amount by 3 [Summer 2]\-\ReDrop\\\Death Jail Summer Escape! ~Medb's Great Prison of Sin and Despair 2017~
655\Dive to Blue\5\12\400, 250\1600, 1000\Increase Arts Card effectiveness by 8%; Increase NP Strength by 8%; Increase NP Gauge by 30% at the start of battle; Increase Connacht Coin drop amount by 1 [Summer 2]; Increase Instant Noodles drop amount by 1 [Summer 2]; Increase One Candy Drop drop amount by 1 [Summer 2]\Increase Arts Card effectiveness by 10%; Increase NP Strength by 10%; Increase NP Gauge by 50% at the start of battle; Increase Connacht Coin drop amount by 2 [Summer 2]; Increase Instant Noodles drop amount by 2 [Summer 2]; Increase One Candy Drop drop amount by 2 [Summer 2]\-\Shaka P (DELiGHTWORKS)\\\Death Jail Summer Escape! ~Medb's Great Prison of Sin and Despair 2017~
656\Mop of Selection\4\9\100, 100\100, 100\When equipped to Altria [Alter] (Rider) only. Increase ATK of all allies by 20%, but decrease DEF by 15% [Demerit] while she's on the field\\-\\\
657\NYARF!\4\9\100, 100\100, 100\When equipped to Helena Blavatsky (Archer) only. Increase Quick & Arts Card effectiveness of all allies by 10% while she's on the field\\-\\\
658\Kyougoku\4\9\100, 100\100, 100\When equipped to Raikou (Lancer) only. Increase Quick & Buster Card effectiveness of all allies by 10% while she's on the field\\-\\\
659\PRISMA ILLYA: Oath Under Snow\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50; Received at Lv.80 with Max Limit unlocked\\-\Hirata Kazuya (SILVER LINK.)\\\Fate/Kaleid Liner PRISMA ILLYA Movie: Oath Under Snow Commemorative CE
660\Battle Olympia\5\12\0, 500\0, 2000\Increase Arts Card effectiveness by 8%; Increase Buster Card effectiveness by 8%; Increase NP Gauge by 50% at the start of battle; Increase Nero Medal [Gold] drop amount by 1 [Nerofest 3]\Increase Arts Card effectiveness by 10%; Increase Buster Card effectiveness by 10%; Increase NP Gauge by 60% at the start of battle; Increase Nero Medal [Gold] drop amount by 2 [Nerofest 3]\-\Imigimuru\\\The Return of Nero Fest ~2017 Autumn~
661\Two Gods Three Legs\5\12\0, 500\0, 2000\Apply Guts (1 HP, 1 time); Increase NP Strength by 15%; Increase ATK Strength by 100% [Nerofest 3]\Apply Guts (1 HP, 1 time); Increase NP Strength by 20%; Increase ATK Strength by 200% [Nerofest 3]\-\CanceR\\\The Return of Nero Fest ~2017 Autumn~
662\Cheer for Master\5\12\400, 250\1600, 1000\Increase Quick Card effectiveness by 6%; Increase Arts Card effectiveness by 6%; Increase Buster Card effectiveness by 6%; Gain 3 Critical Stars per turn; Increase Crimson Petals drop amount by 1 [Nerofest 3]\Increase Quick Card effectiveness by 8%; Increase Arts Card effectiveness by 8%; Increase Buster Card effectiveness by 8%; Gain 4 Critical Stars per turn; Increase Crimson Petals drop amount by 2 [Nerofest 3]\-\Mo\\\The Return of Nero Fest ~2017 Autumn~
663\Food Colosseum\4\9\320, 200\1200, 750\Increase Quick Card effectiveness by 10%; Increase HP Recovery Amount by 10%; Increase Nero Medal [Silver] drop amount by 1 [Nerofest 3]\Increase Quick Card effectiveness by 15%; Increase HP Recovery Amount by 20%; Increase Nero Medal [Silver] drop amount by 2 [Nerofest 3]\-\Kawai Makoto\\\The Return of Nero Fest ~2017 Autumn~
664\Muscle Cavalier\3\5\0, 250\0, 1000\Increase Buster Card effectiveness by 3%; Increase Critical Strength by 8%; Increase Nero Medal [Bronze] drop amount by 1 [Nerofest 3]\Increase Buster Card effectiveness by 5%; Increase Critical Strength by 10%; Increase Nero Medal [Bronze] drop amount by 2 [Nerofest 3]\-\Azusa\\\The Return of Nero Fest ~2017 Autumn~
665\Replica; Agateram\4\9\100, 100\100, 100\Increase Master EXP received from clearing quest by 50\\-\\\\FGO THE STAGE Autumn Performance Campaign
666\Former Wish\5\12\400, 250\1600, 1000\Increase Critical Star Gather Rate by 400%; Increase Buster Card effectiveness by 10%\Increase Critical Star Gather Rate by 600%; Increase Buster Card effectiveness by 15%\-\Watanabe Yaeko (ufotable)\\
667\War Companion\4\9\0, 400\0, 1500\Increase Arts Card effectiveness by 8%; Increase Buster Card effectiveness by 8%; Increase NP Strength by 5%\Increase Arts Card effectiveness by 10%; Increase Buster Card effectiveness by 10%; Increase NP Strength by 10%\-\Katou Miho (ufotable)\\
668\Traces of a Dream\3\5\160, 100\800, 500\Increase Debuff Success Rate by 3%; Increase Debuff Resist by 5%\Increase Debuff Success Rate by 5%; Increase Debuff Resist by 10%\-\Shiojima Yuka (ufotable)\\
669\Bull of Fertility\4\9\100, 100\100, 100\When equipped to Parvati (Lancer) only. Increase Quick Card effectiveness & NP Gain of all allies by 10% while she's on the field\\-\\\
670\Heroic Spirit Costume: Medusa\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 50\\-\Shiojima Yuka (ufotable)\\\Fate/Stay Night [Heaven's Feel] Theater Attendance Privilege
671\Heroic Spirit Costume: Leonardo da Vinci\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 50\\-\Tsuji Masatoshi (ufotable)\\\Fate/Stay Night [Heaven's Feel] Theater Attendance Privilege
672\Heroic Spirit Costume: Jeanne d'Arc\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 50\\-\Satou Tetsuto (ufotable)\\\Fate/Stay Night [Heaven's Feel] Theater Attendance Privilege
673\Heroic Spirit Costume: Nero Claudius\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 50\\-\Echigo Mitsutaka (ufotable)\\\Fate/Stay Night [Heaven's Feel] Theater Attendance Privilege
674\Divine Construct\3\5\0, 200\0, 1000\Increase NP Strength by 15% when equipped to a [Saber] class\Increase NP Strength by 25% when equipped to a [Saber] class\-\\\
675\Feelings, Across Three Generations\4\9\100, 100\100, 100\When equipped to Tomoe Gozen (Archer) only. Increase Buster Card effectiveness & NP Strength of all allies by 10% while she's on the field\\-\\\
676\Getsurin Kuyou\4\9\100, 100\100, 100\When equipped to Mochizuki Chiyome (Assassin) only. Increase Quick and Arts Card effectiveness of all allies by 10% while she's on the field\\-\\\
677\Juumonji Yari\4\9\100, 100\100, 100\When equipped to Houzouin Inshun (Lancer) only. Increase Quick Card effectiveness by 10% & Critical Strength of all allies by 15% while he's on the field\\-\\\
678\Nikai Gasa\4\9\100, 100\100, 100\When equipped to Yagyuu Munenori (Saber) only. Increase Arts Card effectiveness & NP Gain of all allies by 10% while he's on the field\\-\\\
679\Cow of Danzou\4\9\100, 100\100, 100\When equipped to Katou Danzou (Assassin) only. Increase Quick and Buster Card effectiveness of all allies by 10% while she's on the field\\-\\\
